TEAM;NO;NAME;POS;AGE;HEIGHT;WEIGHT;COLLEGE;SALARY
Memphis Grizzlies;24;Dillon Brooks;SF;22;6-6;220;Oregon;815,615
Memphis Grizzlies;8;MarShon Brooks;SG;29;6-5;200;Providence;60,283
Memphis Grizzlies;6;Mario Chalmers;PG;31;6-2;190;Kansas;1,471,382
Memphis Grizzlies;11;Mike Conley;PG;30;6-1;175;Ohio State;28,530,608
Memphis Grizzlies;21;Deyonta Davis;C;21;6-11;237;Michigan State;1,312,611
Memphis Grizzlies;12;Tyreke Evans;SG;28;6-6;220;Memphis;3,290,000
Memphis Grizzlies;33;Marc Gasol;C;33;7-1;255;;22,642,350
Memphis Grizzlies;0;JaMychal Green;PF;27;6-9;227;Alabama;8,533,333
Memphis Grizzlies;5;Andrew Harrison;SG;23;6-6;213;Kentucky;1,312,611
Memphis Grizzlies;4;Myke Henry;F;25;6-6;210;DePaul;
Memphis Grizzlies;14;Omari Johnson;PF;27;6-9;220;Oregon State;
Memphis Grizzlies;1;Jarell Martin;PF;23;6-10;239;LSU;1,471,382
Memphis Grizzlies;23;Ben McLemore;SG;25;6-5;195;Kansas;5,200,000
Memphis Grizzlies;25;Chandler Parsons;SF;29;6-10;230;Florida;23,112,004
Memphis Grizzlies;10;Ivan Rabb;PF;21;6-10;220;California;950,000
Memphis Grizzlies;7;Wayne Selden;SG;23;6-5;230;Kansas;1,312,611
Memphis Grizzlies;2;Kobi Simmons;PG;20;6-4;170;Arizona;
Memphis Grizzlies;3;Briante Weber;PG;25;6-2;165;Virginia Commonwealth;
New Orleans Pelicans;42;Alexis Ajinca;C;29;7-2;248;;4,961,798
New Orleans Pelicans;2;Ian Clark;SG;27;6-3;175;Belmont;1,471,382
New Orleans Pelicans;4;Charles Cooke;SG;23;6-5;196;Dayton;
New Orleans Pelicans;0;DeMarcus Cousins;C;27;6-11;270;Kentucky;18,063,850
New Orleans Pelicans;27;Jordan Crawford;SG;29;6-5;195;Xavier;58,190
New Orleans Pelicans;23;Anthony Davis;PF;25;6-10;253;Kentucky;23,775,506
New Orleans Pelicans;13;Cheick Diallo;PF;21;6-9;220;Kansas;1,312,611
New Orleans Pelicans;1;Larry Drew II;PG;28;6-2;180;UCLA;
New Orleans Pelicans;44;Solomon Hill;SF;27;6-7;225;Arizona;12,236,535
New Orleans Pelicans;11;Jrue Holiday;PG;27;6-4;205;UCLA;25,686,667
New Orleans Pelicans;15;Frank Jackson;PG;19;6-3;205;Duke;815,615
New Orleans Pelicans;34;DeAndre Liggins;SG;30;6-6;209;Kentucky;588,120
New Orleans Pelicans;21;Darius Miller;SF;28;6-8;225;Kentucky;2,100,000
New Orleans Pelicans;3;Nikola Mirotic;PF;27;6-10;238;;12,500,000
New Orleans Pelicans;55;E'Twaun Moore;SF;29;6-4;191;Purdue;8,445,024
New Orleans Pelicans;50;Emeka Okafor;C;35;6-10;255;Connecticut;592,030
New Orleans Pelicans;9;Rajon Rondo;PG;32;6-1;186;Kentucky;3,300,000
San Antonio Spurs;12;LaMarcus Aldridge;PF;32;6-11;260;Texas;21,461,010
San Antonio Spurs;1;Kyle Anderson;SF;24;6-9;230;UCLA;2,151,704
San Antonio Spurs;42;Davis Bertans;C;25;6-10;210;;1,312,611
San Antonio Spurs;11;Bryn Forbes;SG;24;6-3;190;Michigan State;1,312,611
San Antonio Spurs;16;Pau Gasol;C;37;7-0;250;;16,000,000
San Antonio Spurs;22;Rudy Gay;SF;31;6-8;230;Connecticut;8,406,000
